equipment_id,temperature,vibration,last_maintenance
244bb14b,136,45,2025-03-21
f7fc350b,149,60,2025-01-21
f50e7d08,76,59,2025-02-04
1451053a,71,55,2025-06-03
5f720cb5,99,50,2025-06-07
f8d1b9da,95,100,2025-05-07
e6267b6b,101,31,2025-05-09
f0f26e62,72,63,2025-03-31
7718a3a9,81,19,2025-05-19
5b310cf4,52,4,2025-06-02
8c37f805,53,20,2025-03-05
e194c0c1,108,74,2025-02-13
4dee72c7,138,40,2025-03-14
818b1f74,113,6,2025-04-01
921ddec4,120,44,2025-04-23
0c72ac93,123,78,2025-01-05
e4ced562,108,97,2025-04-04
c9b95705,112,86,2025-04-20
3d3e4c20,116,56,2025-01-03
0f3a2594,85,53,2025-04-02
2ee66d31,145,82,2025-04-24
ac9ee4c2,102,53,2025-02-21
3e95a5f4,56,75,2025-05-21
3cf5bde6,129,77,2025-04-04
ebb67e45,100,19,2025-02-06
fb966687,103,96,2025-01-11
8ec56edc,58,46,2025-05-16
5ecac40a,143,56,2025-01-23
f9e7f337,57,21,2025-05-11
c412c27f,148,28,2025-02-01
26164064,120,19,2025-04-07
cadf009d,140,88,2025-04-21
c8d5e162,124,59,2025-04-06
cbfe33f6,64,81,2025-05-02
e3e383a2,56,73,2025-02-10
d25c6035,57,39,2025-04-24
38076a4f,90,76,2025-04-14
15e9717f,87,73,2025-05-20
9d54231b,142,40,2025-01-08
5041c330,137,46,2025-05-15
dfed105b,115,12,2025-03-17
f86ba0b3,136,38,2025-03-16
3b511ecb,143,75,2025-03-22
b329dc88,94,60,2025-03-02
a7c85f23,74,21,2025-04-01
60307ab2,115,7,2025-04-03
1e820ad8,75,90,2025-05-03
dfa88ec5,76,35,2025-02-03
db1c577e,57,84,2025-03-07
a90732c7,55,62,2025-03-31
08bd2459,59,60,2025-03-10
9d7ffa2f,141,91,2025-06-07
d131b7e0,104,82,2025-02-20
b0ff9a78,55,14,2025-04-11
a62a7b0d,142,98,2025-02-04
f9ae0a46,103,18,2025-04-13
231d0054,112,42,2025-04-27
2465eb78,74,29,2025-01-01
c4081b05,136,27,2025-04-01
506374cc,61,97,2025-03-20
948974e6,70,53,2025-01-03
f12b1e89,83,58,2025-01-18
932f47b1,65,36,2025-04-07
003c999b,116,94,2025-01-13
9c142bf2,101,14,2025-06-07
4b7c806a,80,100,2025-02-01
897acff9,68,63,2025-04-07
e27b9ebc,74,87,2025-02-18
a583e804,56,19,2025-04-18
6daf2475,84,10,2025-04-03
00e14d11,95,51,2025-03-24
c2fe62fa,54,92,2025-04-05
db8c94cb,92,14,2025-02-04
93a13a91,54,89,2025-04-09
c72867a3,56,74,2025-04-19
b3b774dc,68,34,2025-01-25
fe05f67d,101,26,2025-05-07
2611151d,120,59,2025-01-02
860dc20d,52,23,2025-04-11
866c17f8,97,13,2025-05-02
727f13c1,140,36,2025-01-01
2ec42de7,73,4,2025-04-27
9b43a450,89,46,2025-01-16
8b9ccf0a,91,88,2025-05-31
408f10ad,142,96,2025-02-12
772f7672,60,10,2025-01-19
beed9933,142,38,2025-04-06
e3649106,95,55,2025-01-02
3734fc0a,65,25,2025-04-29
9deea98e,122,19,2025-01-31
5bc70da5,51,56,2025-02-28
74690bd0,139,72,2025-05-28
9eeec2d3,134,66,2025-03-03
4c7f652f,93,30,2025-04-05
2e44348f,105,29,2025-03-08
761e4a01,75,77,2025-05-24
fba440ce,126,75,2025-01-29
4fa9018a,55,48,2025-02-16
179d7369,141,43,2025-03-16
a141d8aa,136,43,2025-04-06
82e353bc,89,11,2025-03-18
8c1399d1,66,28,2025-01-27
e64b4f29,149,11,2025-05-10
87766c24,145,57,2025-01-22
a25825bb,59,33,2025-03-08
bf517b58,112,6,2025-04-07
1bf3c46a,131,44,2025-03-19
eb2b45e4,135,77,2025-05-29
15d06b49,81,100,2025-04-03
0f9bf510,80,43,2025-04-23
f9049481,64,17,2025-05-17
6c5860d2,93,86,2025-03-11
7015ad89,95,81,2025-06-04
c255261f,103,9,2025-02-09
2fef1bdb,60,62,2025-02-23
d4ed6900,90,78,2025-03-10
51258ed1,144,32,2025-04-22
6bb6da8f,111,100,2025-03-26
68dbdd50,120,38,2025-01-12
50c5a336,130,88,2025-01-07
42467d88,147,21,2025-01-20
b068bdcb,70,91,2025-02-05
9d875f81,71,94,2025-01-29
f49ab9ae,118,15,2025-05-21
0d6e8699,145,60,2025-01-20
79fc7bd4,99,89,2025-02-21
062c611e,133,1,2025-01-07
0eeaf9b6,132,18,2025-03-26
579f88a3,129,22,2025-05-23
3e6a9182,82,33,2025-02-20
a599dfc9,77,97,2025-02-06
12d89162,51,56,2025-03-08
4c95f6fe,110,49,2025-05-02
d4b0eea6,82,44,2025-01-13
b985cebc,149,46,2025-03-10
a814023f,117,80,2025-06-07
d2168882,92,56,2025-04-23
1f45ea22,128,49,2025-02-05
d4a10716,135,49,2025-04-11
76a2da13,134,48,2025-04-27
b22a05b0,51,34,2025-06-05
cbfa1959,52,27,2025-06-02
bdf90178,91,31,2025-04-16
13c7c13f,90,55,2025-03-07
8e00c25b,80,48,2025-02-06
5b0df87a,52,67,2025-02-13
1fbfa0b4,107,45,2025-06-02
4f2a885a,57,48,2025-03-19
be49a31f,115,71,2025-05-19
058867c1,81,86,2025-05-31
a463a676,100,57,2025-05-23
1e641f84,53,35,2025-05-28
6cc92590,54,29,2025-05-02
f5088d57,149,89,2025-03-09
229fbb93,72,9,2025-04-30
444018c3,119,73,2025-02-07
06f59b95,111,51,2025-03-30
640c67fe,148,83,2025-04-01
6ca00112,115,62,2025-05-02
57f2527b,114,14,2025-04-06
a57b9c19,116,57,2025-04-20
9abb1448,94,98,2025-05-26
27cbe5e6,102,59,2025-05-07
056579d6,67,86,2025-02-06
dd316d17,116,77,2025-01-16
5cfd99de,105,28,2025-02-20
55e20b21,56,83,2025-05-02
a204aec2,110,15,2025-04-14
64e3ccd1,147,1,2025-05-06
701f7891,101,42,2025-03-13
7bf19cdb,109,51,2025-01-06
467c80da,59,25,2025-01-11
6257945e,95,69,2025-02-03
1219aee3,117,72,2025-01-17
d141163e,92,76,2025-04-21
25821432,69,30,2025-02-18
9816baf7,147,93,2025-01-04
c1da0ac9,58,53,2025-01-27
9e3aaab0,99,82,2025-04-28
27b42fa3,69,7,2025-02-26
689e51e6,120,6,2025-05-08
d53123d9,141,69,2025-01-02
5ea98f58,140,89,2025-02-18
a151e836,114,91,2025-02-20
3401fc90,66,15,2025-04-12
065f8e89,107,13,2025-05-20
bae47b8c,144,38,2025-04-15
704f827c,122,14,2025-06-06
b4e40675,138,88,2025-03-05
89fade41,95,55,2025-02-07
8600b03f,138,93,2025-02-27
ef2ef049,115,19,2025-06-07
e64eeed4,96,47,2025-02-27
5ee267a4,63,95,2025-02-23
aabcd3a3,92,77,2025-06-01
c5446f3f,88,43,2025-01-26
9f79e1c6,87,45,2025-05-23
07ee5399,55,12,2025-01-20
a55ca08a,148,82,2025-05-03
71db6f9d,75,66,2025-03-03
863dd920,120,11,2025-02-26
7ded9ecf,149,75,2025-01-11
e1d77fcb,127,75,2025-04-03
02c4837c,74,96,2025-02-21
1e6f7337,123,78,2025-03-13
70d93b09,94,91,2025-05-29
8cc88b3a,102,90,2025-01-13
481eb004,150,3,2025-02-17
d5ae547e,124,82,2025-01-17
ddadb2da,80,13,2025-04-02
175c064e,104,62,2025-03-05
14c6edb4,89,57,2025-04-06
55d780eb,146,42,2025-04-13
d8c0e28a,146,46,2025-02-21
e069b6e9,77,19,2025-04-20
72fb50b2,58,42,2025-01-30
bea2a534,98,25,2025-03-02
dda936dd,117,56,2025-01-14
8a5acb9b,150,55,2025-04-24
a195c8bb,57,46,2025-02-13
713c74e3,115,77,2025-01-03
4d128a67,113,73,2025-04-20
803577d1,52,86,2025-01-11
03fe79f6,118,62,2025-01-30
530db274,127,28,2025-05-20
740e395d,64,38,2025-03-13
6b5ea5dd,89,78,2025-03-30
2b9ec8b7,137,11,2025-05-19
9ba1ae9e,140,38,2025-05-27
979138eb,126,40,2025-05-03
b45e6651,150,28,2025-03-23
03e4865f,67,82,2025-02-14
13901f0a,51,72,2025-01-15
0605ed60,135,14,2025-02-14
93438bfa,133,31,2025-05-02
e56d82af,111,89,2025-01-18
bc20b58b,73,98,2025-06-01
dba0c569,53,12,2025-06-05
0e591a5a,50,18,2025-03-03
4ea84395,52,6,2025-01-17
9417ec96,78,52,2025-02-24
372236e8,82,48,2025-04-06
96b23e12,137,56,2025-05-10
dfcf3571,142,97,2025-02-07
79b81d54,52,47,2025-05-17
95f71ccc,105,81,2025-04-19
83c2572a,119,58,2025-03-31
db31b712,125,23,2025-04-04
55904732,76,50,2025-04-03
6200f0aa,104,75,2025-01-27
7304bc93,139,56,2025-05-06
32976ef5,57,65,2025-05-12
9b23c94f,114,91,2025-02-01
74f60eea,135,71,2025-01-18
50bc6ddb,71,46,2025-01-04
b3669359,60,28,2025-03-05
630d331e,105,78,2025-05-11
1a2bbac9,139,91,2025-01-29
1aef9e70,100,89,2025-03-25
eb7dfecf,82,43,2025-02-14
43c1b237,67,24,2025-03-28
deb48124,85,79,2025-01-16
b26f2fa6,76,44,2025-05-23
e56ae6c0,93,86,2025-05-03
2e89fd4f,125,55,2025-04-17
c5e0824b,90,51,2025-06-06
0db44289,50,27,2025-05-23
34eaa7e4,69,17,2025-05-22
14f309a7,84,46,2025-02-28
137782b8,68,85,2025-02-18
7ae43c76,77,79,2025-04-28
80bc66af,123,12,2025-06-01
b97f617c,82,44,2025-02-10
b41040c0,119,72,2025-03-16
687ba0f8,115,58,2025-04-04
bff269d8,83,67,2025-04-12
07894122,67,42,2025-03-27
72b5f0f9,90,78,2025-05-26
165ff2f4,51,62,2025-03-10
f12c162f,92,83,2025-05-14
c698c1df,121,84,2025-05-27
d2650d11,130,21,2025-01-19
990a66fb,109,19,2025-02-05
bf40e53d,67,45,2025-03-06
5dd290a4,67,99,2025-02-04
d93d1638,56,50,2025-05-08
b3325ffc,149,17,2025-03-14
84af2d21,93,77,2025-02-28
34a7199d,105,87,2025-01-18
4c7deaec,115,4,2025-03-16
6ad3b321,60,100,2025-04-01
e666daf4,59,47,2025-04-04
bb4b5537,135,38,2025-01-24
2cb4b5ad,94,43,2025-03-23
76eb0da4,114,80,2025-05-08
fb86f0f2,52,33,2025-03-05
06633096,72,24,2025-05-26
d41e579e,119,98,2025-01-10
0ab544eb,54,37,2025-05-08
4e5893f7,110,39,2025-04-13
9f3a958e,124,39,2025-02-28
8a16dee5,76,77,2025-03-02
1776b908,86,78,2025-04-27
2d59bd46,121,86,2025-05-18
62891544,127,45,2025-01-08
6503fb4e,55,91,2025-01-17
c070c327,67,43,2025-05-10
8ddc42a3,136,1,2025-04-07
f3f7a469,80,46,2025-01-10
6736adbf,76,90,2025-04-02
ba45aa70,124,64,2025-04-27
23c61b31,104,67,2025-01-12
ea91d11a,130,78,2025-04-04
5f57232e,79,87,2025-03-02
e96c98ff,124,99,2025-03-03
52a2f5c9,86,79,2025-03-23
2d774d0f,50,42,2025-03-09
04bc2eeb,82,36,2025-04-22
9ad1201d,118,38,2025-06-05
412d74b9,118,45,2025-02-02
abc905e3,50,84,2025-01-11
bf6da7e0,97,9,2025-02-25
5d17808f,80,93,2025-06-05
c2031ef9,114,71,2025-02-15
c9b7d9fc,55,75,2025-04-21
54b915f2,85,84,2025-01-14
ba9d3e82,70,84,2025-02-07
c43cc271,148,40,2025-01-24
ace6edf5,104,82,2025-01-08
107fd8b5,58,37,2025-04-15
09c98897,129,34,2025-05-24
d3e278c0,140,75,2025-01-22
c53606c6,83,43,2025-06-01
c09dcb0d,92,1,2025-01-22
b8cae8eb,123,48,2025-02-24
e60ddc0f,148,3,2025-03-03
0efc58c6,130,98,2025-02-05
b3269726,77,38,2025-03-15
2b36da2a,69,18,2025-02-03
c688bfdf,130,31,2025-03-28
03dda651,55,2,2025-02-14
2a9a5246,140,27,2025-01-09
ec942a77,139,23,2025-02-13
64cf7906,149,91,2025-05-11
c3516120,140,50,2025-02-14
01a51c55,55,5,2025-03-03
59fed249,59,25,2025-02-14
cc941eb4,116,92,2025-05-10
3a314388,60,11,2025-05-24
414bfaa9,118,30,2025-03-31
f9b38d86,94,57,2025-03-24
6dcfb86c,123,40,2025-02-08
5bf235dd,121,35,2025-05-29
3a0b5cc4,129,70,2025-03-16
16cba41d,76,64,2025-03-11
d6e63107,107,68,2025-04-17
2da36f0a,140,37,2025-03-14
a469de0f,87,72,2025-03-26
589749ec,149,69,2025-03-04
78fe0f8e,67,83,2025-03-17
4f4b0162,97,51,2025-03-12
76d24082,109,75,2025-02-09
228c2e63,50,4,2025-01-13
d5d2e469,127,37,2025-03-16
e8aa9bb4,91,72,2025-06-06
afa2b697,126,24,2025-06-06
7c8044b7,146,39,2025-03-27
fd55854e,142,83,2025-03-11
62efacdb,126,45,2025-05-31
f7d98d22,136,70,2025-04-09
512fd113,91,63,2025-04-19
bf50c5f4,95,13,2025-01-10
6270b484,76,26,2025-04-23
d4391ca9,92,39,2025-02-24
db95ee48,131,18,2025-04-11
5f8b22b6,124,54,2025-02-25
b40cc34f,79,26,2025-01-11
f28de502,110,12,2025-04-12
f2d83303,128,63,2025-05-25
ea8392e3,142,22,2025-03-22
fbcdb8e3,142,41,2025-04-02
240b783e,76,25,2025-03-27
e2a2ffb5,62,90,2025-04-20
ed309f66,102,39,2025-01-06
60a22cc7,75,53,2025-01-07
f7191d1e,83,16,2025-04-19
6cc0d916,89,65,2025-02-05
443cbd98,53,22,2025-02-26
ea0e349f,83,10,2025-01-02
d47b6292,115,53,2025-05-01
72d4cffc,107,14,2025-05-18
77582f5b,54,78,2025-05-21
f7457948,108,37,2025-04-06
77a9c8d7,107,35,2025-03-21
7c925720,115,48,2025-03-10
d4229023,79,11,2025-03-03
59189f3f,96,49,2025-01-12
71e62bbf,59,82,2025-03-24
1b8bb75e,76,60,2025-05-04
525111b4,73,90,2025-01-08
fbb379b4,147,97,2025-04-11
54845913,74,49,2025-04-25
d13e86d7,141,35,2025-03-06
c2ad4f2c,85,1,2025-05-24
0610b3ab,123,50,2025-04-14
65de207c,98,74,2025-05-30
4c814cf3,111,86,2025-06-04
180b9ac3,143,70,2025-03-26
da500d09,75,75,2025-02-25
292b8b88,145,85,2025-02-28
f9b8bee7,78,99,2025-04-27
1718a7fa,140,5,2025-04-15
29b86b7a,54,63,2025-01-16
67790b24,56,15,2025-04-23
5a561b4c,90,11,2025-01-15
6b5fb5cc,54,97,2025-01-05
3ed81448,102,88,2025-05-01
82b25a09,123,21,2025-04-28
a58eeb0d,104,37,2025-05-11
f5c4404b,90,87,2025-04-07
7433251e,64,91,2025-05-07
900958df,66,57,2025-05-30
dbc0fd82,138,80,2025-04-27
c9942e65,88,67,2025-03-22
0f19101b,95,54,2025-02-24
d6d9dd2d,93,1,2025-02-02
03fcfefa,117,13,2025-03-18
43839204,114,69,2025-05-24
586d6075,109,89,2025-02-06
3b09e502,113,64,2025-04-24
01a1bb8f,121,68,2025-06-07
433aa9b2,87,35,2025-03-13
2cd91fa9,113,94,2025-03-13
b44a6f9f,102,100,2025-04-25
7d6d8ca1,94,68,2025-01-19
51b2541e,130,86,2025-03-16
b9fc33cb,100,18,2025-06-07
c0edb142,86,38,2025-03-26
fe3dc7ea,105,77,2025-02-17
7289c730,57,21,2025-05-08
4015c2cb,132,30,2025-05-24
ce362ed0,91,46,2025-02-05
87013d96,52,74,2025-01-31
871b61c3,120,30,2025-04-18
21d0e49c,66,47,2025-05-19
996b071c,113,64,2025-02-16
2bd9532d,94,40,2025-02-06
caa3eeed,55,5,2025-05-18
49382490,75,64,2025-02-11
44de0fc3,96,96,2025-03-17
138caa3b,127,95,2025-01-31
09e21c17,130,97,2025-04-16
77a475b6,112,32,2025-04-26
0aae7153,89,72,2025-03-05
39024375,134,96,2025-03-09
f105993c,97,80,2025-03-28
2cda8e8c,98,75,2025-02-23
75dcc20e,131,22,2025-03-17
2df9d4af,61,76,2025-02-25
6c5acb22,96,40,2025-01-12
294ceda5,88,99,2025-01-18
e64f5d55,80,86,2025-01-29
2befc812,133,85,2025-05-19
0c54515a,101,85,2025-04-19
32ac0e9c,93,86,2025-01-26
1a5400f2,140,97,2025-01-21
2b5d752a,104,12,2025-01-15
18718085,63,4,2025-02-11
28a00997,62,72,2025-03-18
db596c0f,133,30,2025-03-08
6165be98,80,38,2025-04-17
2bca6bef,58,56,2025-06-07
17387ad9,137,39,2025-06-01
2d470edb,128,62,2025-03-25
c8d3ab5f,147,19,2025-03-16
8114a3d2,139,73,2025-02-18
33c2ed28,117,79,2025-02-17
b53ab72e,120,17,2025-05-02
d31e54d6,100,49,2025-01-31
d56d3204,51,1,2025-06-05
6334bb0b,76,57,2025-04-12
89023603,53,49,2025-03-01
f8488712,51,61,2025-01-18
32ba9c25,61,86,2025-01-12
4227dfae,99,12,2025-01-23
a056a420,113,59,2025-02-01
8504aa71,102,25,2025-02-01
601a5400,56,11,2025-06-07
990a90f1,141,69,2025-03-30
bee331de,111,86,2025-01-10
2f39f4cb,54,27,2025-06-03
627c115a,98,14,2025-03-10
5faf950d,113,79,2025-01-09
60401442,150,60,2025-01-28
d63ab497,142,98,2025-04-25
fd1e7f66,54,49,2025-04-05
3704876f,104,76,2025-02-14
fd351e76,61,48,2025-04-16
85f3c316,111,11,2025-04-09
2679559a,70,9,2025-05-31
ac56fab5,149,97,2025-02-19
17511f3f,109,50,2025-03-01
f403fe0d,55,66,2025-02-24
706669bd,78,45,2025-04-22
a21427fa,82,57,2025-02-04
801729bc,150,76,2025-06-07
8e9a8e33,148,15,2025-03-31
43a2dbca,138,95,2025-02-06
6f7ee80a,111,7,2025-03-26
56c12d19,77,45,2025-05-07
2dde10b1,58,40,2025-01-30
9dd817e5,129,84,2025-02-15
3a899453,115,77,2025-01-07
666dcf18,95,84,2025-03-26
9c7eecc5,86,66,2025-01-25
c2c7aea9,112,80,2025-03-11
502b3998,100,36,2025-04-24
090c0447,62,71,2025-04-02
32fa1818,84,48,2025-06-01
ddcf8b94,56,26,2025-02-01
41cc17ee,59,98,2025-04-24
2dfa2005,148,15,2025-02-21
e4327449,142,74,2025-01-28
645aa852,109,52,2025-06-05
3654aa82,61,47,2025-03-03
494459b7,118,59,2025-02-27
105c0797,116,25,2025-02-04
08afc56f,85,44,2025-01-02
755f3ebb,68,4,2025-02-08
1dc09acd,75,92,2025-03-31
8f59ba5a,128,35,2025-05-26
589f5374,116,53,2025-02-22
2741124e,78,40,2025-06-03
293f204c,81,8,2025-05-04
3682cc55,55,59,2025-01-16
777618b2,54,85,2025-05-08
588c24b8,87,50,2025-01-25
f3418900,124,37,2025-03-16
2566e30d,113,95,2025-06-01
4f68442e,148,12,2025-03-17
6bb1707b,146,60,2025-03-31
91c98541,88,6,2025-01-10
c3248ce1,54,93,2025-01-21
47936d35,138,70,2025-03-02
14b2e920,51,79,2025-02-02
a49a1076,130,19,2025-04-13
501999ee,103,47,2025-05-25
72e4f246,97,98,2025-02-03
22ac40f3,144,86,2025-01-12
c4c7b553,77,5,2025-01-20
9fecf517,51,71,2025-03-27
a42749f9,81,63,2025-04-12
6c2210f9,85,78,2025-04-05
3968a46d,137,18,2025-03-01
e3fd517f,83,44,2025-03-15
ee5fa25f,125,23,2025-01-13
6a1c4eea,91,21,2025-02-15
c99a654e,59,37,2025-03-18
eb82d744,150,70,2025-06-02
01eddc42,53,54,2025-03-08
ff2c054a,61,56,2025-05-08
bdbd46cc,148,86,2025-01-04
2d3429a6,109,68,2025-02-19
cd4dcc39,136,67,2025-04-17
68d27a0e,122,95,2025-06-05
7e63f0f1,123,79,2025-05-20
2a13b271,80,25,2025-05-25
dc598a8d,123,1,2025-04-25
e956d45f,128,96,2025-03-06
33a3ffc2,93,94,2025-06-02
57cb61de,113,48,2025-05-26
9e12676e,93,10,2025-06-03
4eb3d513,110,20,2025-03-04
5009a5ca,115,50,2025-02-19
7c028ff4,84,32,2025-01-01
410a0d2c,74,93,2025-02-04
53a87aee,63,7,2025-05-31
ad013374,115,60,2025-06-02
dc237f33,148,5,2025-04-26
47ba0e81,74,6,2025-05-21
80c7e07f,53,46,2025-04-18
9f2f8fcf,150,60,2025-02-21
b7580df2,57,72,2025-01-06
3f116649,62,97,2025-01-28
0f47ef85,68,92,2025-01-01
58deb59a,107,66,2025-04-22
a6bc5955,126,4,2025-03-15
9e3c7e82,138,32,2025-05-06
2df8f77e,115,81,2025-02-02
147a7f38,122,9,2025-04-29
ee531e83,96,50,2025-01-06
cbdb19db,89,43,2025-03-08
ff8ddb43,112,28,2025-01-13
f0b9c0be,126,88,2025-01-30
3ffa512e,138,92,2025-05-28
f20acfd8,112,2,2025-05-11
796c3805,56,29,2025-06-05
b564dea0,116,72,2025-06-03
e7e1b389,135,68,2025-02-08
176b80e1,106,82,2025-04-28
27e091eb,105,1,2025-03-30
cfaf526f,145,12,2025-01-27
59bf854b,114,23,2025-04-17
ebb00335,66,36,2025-05-29
38d9c9ab,55,64,2025-05-02
0e53a5a0,53,91,2025-04-24
36ea3497,109,11,2025-03-23
956c98f6,84,70,2025-03-18
66653e06,109,56,2025-05-07
fe8390e8,68,42,2025-03-17
7492afab,107,26,2025-03-18
8026c288,103,54,2025-01-11
9cfea382,90,8,2025-04-14
6d9b60be,109,27,2025-05-31
6d300a0c,84,71,2025-02-15
2c6fe344,84,35,2025-01-23
ec066a5f,86,11,2025-03-06
